Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Postcode,Regionname,Propertycount,Distance,CouncilArea,Price_per_Room,property_type
Armadale,6A Auburn Gr,2,h,2110000.0,S,Jellis,1/04/2017,3143,Southern Metropolitan,4836,6.3,Stonnington City Council,1055000.0,House
Armadale,746 High St,3,h,1386000.0,S,Marshall,1/04/2017,3143,Southern Metropolitan,4836,6.3,Stonnington City Council,462000.0,House
Armadale,14/25 Kooyong Rd,2,u,580000.0,VB,hockingstuart,1/04/2017,3143,Southern Metropolitan,4836,6.3,Stonnington City Council,290000.0,Unit
Armadale,6/38 Wattletree Rd,1,u,355000.0,S,hockingstuart,1/04/2017,3143,Southern Metropolitan,4836,6.3,Stonnington City Council,355000.0,Unit
Ascot Vale,8 The Grove,3,h,1123100.0,S,Ray,1/04/2017,3032,Western Metropolitan,6567,4.3,Moonee Valley City Council,374366.6666666667,House
Ashburton,1/48 Karnak Rd,3,u,1270000.0,S,Fletchers,1/04/2017,3147,Southern Metropolitan,3052,10.2,Boroondara City Council,423333.3333333333,Unit
Ashburton,61A Victory Bvd,3,t,1610000.0,S,Jellis,1/04/2017,3147,Southern Metropolitan,3052,10.2,Boroondara City Council,536666.6666666666,Townhouse
Ashwood,43 Douglas St,4,h,1435000.0,S,Ray,1/04/2017,3147,Southern Metropolitan,2894,10.2,Monash City Council,358750.0,House
Aspendale,4 Jirrah Ct,4,h,1431000.0,S,hockingstuart,1/04/2017,3195,South-Eastern Metropolitan,2824,21.5,Kingston City Council,357750.0,House
Aspendale Gardens,8 Mangrove Ct,4,h,996000.0,S,Ray,1/04/2017,3195,South-Eastern Metropolitan,2243,21.5,Kingston City Council,249000.0,House
Avondale Heights,12 Duke St,4,h,825000.0,SP,hockingstuart,1/04/2017,3034,Western Metropolitan,4502,9.5,Moonee Valley City Council,206250.0,House
Balwyn,104/29 Belgrove Av,2,u,660800.0,SP,Fletchers,1/04/2017,3103,Southern Metropolitan,5682,7.9,Boroondara City Council,330400.0,Unit
Balwyn,2/362 Belmore Rd,2,t,700000.0,PI,Walshe,1/04/2017,3103,Southern Metropolitan,5682,7.9,Boroondara City Council,350000.0,Townhouse
Balwyn,9 Kenilworth St,5,h,2700000.0,PI,hockingstuart,1/04/2017,3103,Southern Metropolitan,5682,7.9,Boroondara City Council,540000.0,House
Balwyn,4 Lynch Ct,3,h,2035000.0,PI,Marshall,1/04/2017,3103,Southern Metropolitan,5682,7.9,Boroondara City Council,678333.3333333334,House
Balwyn,4/40 Northcote Av,3,u,955000.0,S,Noel,1/04/2017,3103,Southern Metropolitan,5682,7.9,Boroondara City Council,318333.3333333333,Unit
Balwyn,306 Union Rd,4,h,1810000.0,S,Jellis,1/04/2017,3103,Southern Metropolitan,5682,7.9,Boroondara City Council,452500.0,House
Balwyn North,3 Abbott St,4,h,1850000.0,PI,Fletchers,1/04/2017,3104,Southern Metropolitan,7809,9.7,Boroondara City Council,462500.0,House
Balwyn North,203 Belmore Rd,4,h,2600000.0,VB,Jellis,1/04/2017,3104,Southern Metropolitan,7809,9.7,Boroondara City Council,650000.0,House
Balwyn North,56 Clifton St,3,h,1220000.0,VB,hockingstuart,1/04/2017,3104,Southern Metropolitan,7809,9.7,Boroondara City Council,406666.6666666667,House
Balwyn North,9 Cumberland Av,4,h,2470000.0,PI,Fletchers,1/04/2017,3104,Southern Metropolitan,7809,9.7,Boroondara City Council,617500.0,House
Balwyn North,2/4 Maylands Av,2,u,800000.0,PI,Fletchers,1/04/2017,3104,Southern Metropolitan,7809,9.7,Boroondara City Council,400000.0,Unit
Bayswater North,8 Wattle Rd,4,h,880000.0,S,Philip,1/04/2017,3153,Eastern Metropolitan,3598,23.2,Maroondah City Council,220000.0,House
Beaumaris,500 Balcombe Rd,4,h,1285000.0,SP,Buxton,1/04/2017,3193,Southern Metropolitan,5366,17.3,Bayside City Council,321250.0,House
Beaumaris,2/58 Haydens Rd,2,u,835000.0,S,Buxton,1/04/2017,3193,Southern Metropolitan,5366,17.3,Bayside City Council,417500.0,Unit
Beaumaris,6 haywood St,4,h,1445000.0,S,Hodges,1/04/2017,3193,Southern Metropolitan,5366,17.3,Bayside City Council,361250.0,House
Beaumaris,39 White St,4,h,1435000.0,S,hockingstuart,1/04/2017,3193,Southern Metropolitan,5366,17.3,Bayside City Council,358750.0,House
Bellfield,1/15 Toohey St,3,u,675000.0,SP,Nelson,1/04/2017,3081,Eastern Metropolitan,790,8.8,Banyule City Council,225000.0,Unit
Bentleigh,4b Hobart St,4,t,1300000.0,VB,hockingstuart,1/04/2017,3204,Southern Metropolitan,6795,11.4,Glen Eira City Council,325000.0,Townhouse
Bentleigh,36a Marquis Rd,4,t,1500000.0,PI,hockingstuart,1/04/2017,3204,Southern Metropolitan,6795,11.4,Glen Eira City Council,375000.0,Townhouse
Bentleigh,5 Mortimore St,3,h,1340000.0,S,Buxton,1/04/2017,3204,Southern Metropolitan,6795,11.4,Glen Eira City Council,446666.6666666667,House
Bentleigh East,40 Castlewood St,3,h,1400000.0,S,hockingstuart,1/04/2017,3165,Southern Metropolitan,10969,13.8,Glen Eira City Council,466666.6666666667,House
Bentleigh East,35 Highview Rd,2,t,775000.0,S,hockingstuart,1/04/2017,3165,Southern Metropolitan,10969,13.8,Glen Eira City Council,387500.0,Townhouse
Bentleigh East,5A MacKie Rd,3,t,920000.0,SP,Buxton,1/04/2017,3165,Southern Metropolitan,10969,13.8,Glen Eira City Council,306666.6666666667,Townhouse
Bentleigh East,103 Marlborough St,2,h,1220000.0,S,Point,1/04/2017,3165,Southern Metropolitan,10969,13.8,Glen Eira City Council,610000.0,House
Bentleigh East,66 Paloma St,2,h,1130000.0,S,hockingstuart,1/04/2017,3165,Southern Metropolitan,10969,13.8,Glen Eira City Council,565000.0,House
Bentleigh East,45 Waratah St,4,h,1460000.0,S,hockingstuart,1/04/2017,3165,Southern Metropolitan,10969,13.8,Glen Eira City Council,365000.0,House
Black Rock,38 Ardoyne St,4,h,3000000.0,S,Buxton,1/04/2017,3193,Southern Metropolitan,2866,17.3,Bayside City Council,750000.0,House
Blackburn,28 Elmhurst Rd,4,h,1200000.0,PI,Noel,1/04/2017,3130,Eastern Metropolitan,5713,13.4,Whitehorse City Council,300000.0,House
Blackburn,16 Peacedale Gr,4,h,1410000.0,S,Noel,1/04/2017,3130,Eastern Metropolitan,5713,13.4,Whitehorse City Council,352500.0,House
Blackburn,4 Rosalind Cr,3,h,1110000.0,S,Barry,1/04/2017,3130,Eastern Metropolitan,5713,13.4,Whitehorse City Council,370000.0,House
Blackburn North,53 Morrie Cr,4,h,960000.0,PI,Stockdale,1/04/2017,3130,Eastern Metropolitan,2867,13.4,Whitehorse City Council,240000.0,House
Blackburn North,3 Sheila St,5,h,1090000.0,S,Noel,1/04/2017,3130,Eastern Metropolitan,2867,13.4,Whitehorse City Council,218000.0,House
Blackburn South,47A Canora St,3,h,980000.0,PI,Fletchers,1/04/2017,3130,Eastern Metropolitan,4387,13.4,Whitehorse City Council,326666.6666666667,House
Blackburn South,34 Lawrence St,4,h,1925000.0,PI,Noel,1/04/2017,3130,Eastern Metropolitan,4387,13.4,Whitehorse City Council,481250.0,House
Blackburn South,1/15 Vicki St,3,u,710000.0,S,Philip,1/04/2017,3130,Eastern Metropolitan,4387,13.4,Whitehorse City Council,236666.66666666666,Unit
Bonbeach,470 Station St,4,h,985000.0,S,Purplebricks,1/04/2017,3196,South-Eastern Metropolitan,2887,27.0,Kingston City Council,246250.0,House
Box Hill,12/20 Ashted Rd,2,u,420000.0,SP,Noel,1/04/2017,3128,Eastern Metropolitan,4605,10.9,Whitehorse City Council,210000.0,Unit
Braybrook,4/231 Ballarat Rd,3,h,500500.0,S,Village,1/04/2017,3019,Western Metropolitan,3589,8.6,Maribyrnong City Council,166833.33333333334,House
Braybrook,30 Cremorne St,2,h,490000.0,S,Boran,1/04/2017,3019,Western Metropolitan,3589,8.6,Maribyrnong City Council,245000.0,House
Braybrook,2/1 Hancock Cr,2,t,500000.0,SP,Jas,1/04/2017,3019,Western Metropolitan,3589,8.6,Maribyrnong City Council,250000.0,Townhouse
Brighton,435 New St,4,h,2250000.0,VB,Buxton,1/04/2017,3186,Southern Metropolitan,10579,10.5,Bayside City Council,562500.0,House
Brighton East,75 Marriage Rd,3,h,1958000.0,S,Marshall,1/04/2017,3187,Southern Metropolitan,6938,10.3,Bayside City Council,652666.6666666666,House
Brighton East,81 Marriage Rd,4,h,2137000.0,S,Marshall,1/04/2017,3187,Southern Metropolitan,6938,10.3,Bayside City Council,534250.0,House
Brighton East,3 Sunlight Cr,4,h,2975000.0,S,Marshall,1/04/2017,3187,Southern Metropolitan,6938,10.3,Bayside City Council,743750.0,House
Broadmeadows,145 Graham St,3,h,457000.0,S,YPA,1/04/2017,3047,Northern Metropolitan,4294,14.0,Hume City Council,152333.33333333334,House
Brunswick,53 Amelia St,2,h,740000.0,PI,Nelson,1/04/2017,3056,Northern Metropolitan,11918,5.2,Moreland City Council,370000.0,House
Brunswick,2 Cassels Rd,3,h,900000.0,SP,hockingstuart,1/04/2017,3056,Northern Metropolitan,11918,5.2,Moreland City Council,300000.0,House
Brunswick,70 Gold St,4,h,1250000.0,PI,Jellis,1/04/2017,3056,Northern Metropolitan,11918,5.2,Moreland City Council,312500.0,House
Brunswick,27 Hanover St,2,h,1225000.0,SP,Nelson,1/04/2017,3056,Northern Metropolitan,11918,5.2,Moreland City Council,612500.0,House
Brunswick,10 Lanark St,3,h,1120000.0,S,Nelson,1/04/2017,3056,Northern Metropolitan,11918,5.2,Moreland City Council,373333.3333333333,House
Brunswick,9/4 Mitchell St,2,t,560000.0,S,Nelson,1/04/2017,3056,Northern Metropolitan,11918,5.2,Moreland City Council,280000.0,Townhouse
Brunswick,9 Pitt St,3,h,1685000.0,S,Nelson,1/04/2017,3056,Northern Metropolitan,11918,5.2,Moreland City Council,561666.6666666666,House
Brunswick,301/34 Union St,2,u,625000.0,S,Rombotis,1/04/2017,3056,Northern Metropolitan,11918,5.2,Moreland City Council,312500.0,Unit
Brunswick East,217 Glenlyon Rd,3,h,1470000.0,S,Nelson,1/04/2017,3057,Northern Metropolitan,5533,4.0,Moreland City Council,490000.0,House
Brunswick East,1/164 Nicholson St,2,h,860000.0,S,Woodards,1/04/2017,3057,Northern Metropolitan,5533,4.0,Moreland City Council,430000.0,House
Brunswick West,370 Albion St,3,t,900000.0,S,Ray,1/04/2017,3055,Northern Metropolitan,7082,5.2,Moreland City Council,300000.0,Townhouse
Brunswick West,5/21 Everett St,2,u,398000.0,S,Nelson,1/04/2017,3055,Northern Metropolitan,7082,5.2,Moreland City Council,199000.0,Unit
Brunswick West,7/28 McLean St,2,h,576000.0,S,Biggin,1/04/2017,3055,Northern Metropolitan,7082,5.2,Moreland City Council,288000.0,House
Brunswick West,33 Newman St,4,h,1400000.0,VB,Nelson,1/04/2017,3055,Northern Metropolitan,7082,5.2,Moreland City Council,350000.0,House
Brunswick West,487 Victoria St,3,h,850000.0,PI,Brad,1/04/2017,3055,Northern Metropolitan,7082,5.2,Moreland City Council,283333.3333333333,House
Bulleen,1 Victoria St,4,h,1150000.0,SP,Jellis,1/04/2017,3105,Eastern Metropolitan,4480,10.8,Manningham City Council,287500.0,House
Bundoora,3 Florida Ct,2,t,525000.0,S,Barry,1/04/2017,3083,Northern Metropolitan,10175,12.1,Banyule City Council,262500.0,Townhouse
Bundoora,7 Gordon St,4,h,740000.0,S,Barry,1/04/2017,3083,Northern Metropolitan,10175,12.1,Banyule City Council,185000.0,House
Bundoora,7/27 Princeton Tce,2,u,340000.0,PI,Ray,1/04/2017,3083,Northern Metropolitan,10175,12.1,Banyule City Council,170000.0,Unit
Burwood,12 Andrews St,5,h,1265000.0,S,Jellis,1/04/2017,3125,Southern Metropolitan,5678,10.4,Monash City Council,253000.0,House
Burwood,26 Cromwell St,3,h,1000000.0,PI,Buxton,1/04/2017,3125,Southern Metropolitan,5678,10.4,Monash City Council,333333.3333333333,House
Burwood East,1/451 Highbury Rd,4,t,1460000.0,S,Jellis,1/04/2017,3151,Eastern Metropolitan,4048,14.7,Whitehorse City Council,365000.0,Townhouse
Burwood East,2/451 Highbury Rd,4,t,1200000.0,SP,Jellis,1/04/2017,3151,Eastern Metropolitan,4048,14.7,Whitehorse City Council,300000.0,Townhouse
Burwood East,19 Lincoln St,4,h,935000.0,S,Barry,1/04/2017,3151,Eastern Metropolitan,4048,14.7,Whitehorse City Council,233750.0,House
Burwood East,2/2 Sitar Ct,3,u,780000.0,S,J,1/04/2017,3151,Eastern Metropolitan,4048,14.7,Whitehorse City Council,260000.0,Unit
Camberwell,1/565 Burke Rd,2,u,868000.0,SA,RT,1/04/2017,3124,Southern Metropolitan,8920,7.7,Boroondara City Council,434000.0,Unit
Camberwell,1/17 Hollsmoor Rd,3,t,1375000.0,S,Garvey,1/04/2017,3124,Southern Metropolitan,8920,7.7,Boroondara City Council,458333.3333333333,Townhouse
Camberwell,1a Mabel St,2,h,1235000.0,S,Jellis,1/04/2017,3124,Southern Metropolitan,8920,7.7,Boroondara City Council,617500.0,House
Camberwell,36 Spencer Rd,3,h,1510000.0,PI,Marshall,1/04/2017,3124,Southern Metropolitan,8920,7.7,Boroondara City Council,503333.3333333333,House
Camberwell,38 Spencer Rd,3,h,1520000.0,S,Jellis,1/04/2017,3124,Southern Metropolitan,8920,7.7,Boroondara City Council,506666.6666666667,House
Camberwell,3/7 Stanhope Gr,2,u,835000.0,S,Prowse,1/04/2017,3124,Southern Metropolitan,8920,7.7,Boroondara City Council,417500.0,Unit
Camberwell,5/1295 Toorak Rd,2,u,495000.0,PI,Domain,1/04/2017,3124,Southern Metropolitan,8920,7.7,Boroondara City Council,247500.0,Unit
Camberwell,9 Webster St,4,h,2100500.0,S,Fletchers,1/04/2017,3124,Southern Metropolitan,8920,7.7,Boroondara City Council,525125.0,House
Canterbury,16 Parlington St,5,h,3300000.0,VB,Jellis,1/04/2017,3126,Southern Metropolitan,3265,8.4,Boroondara City Council,660000.0,House
Carlton North,787 Rathdowne St,2,h,1470000.0,S,Nelson,1/04/2017,3054,Northern Metropolitan,3106,3.5,Melbourne City Council,735000.0,House
Carlton North,79 Wilson St,3,h,2410000.0,S,Nelson,1/04/2017,3054,Northern Metropolitan,3106,3.5,Melbourne City Council,803333.3333333334,House
Carnegie,2 Milton St,4,h,1775000.0,S,hockingstuart,1/04/2017,3163,Southern Metropolitan,7822,10.1,Glen Eira City Council,443750.0,House
Carnegie,9/80 Woornack Rd,1,u,295000.0,S,Ray,1/04/2017,3163,Southern Metropolitan,7822,10.1,Glen Eira City Council,295000.0,Unit
Caroline Springs,26 Bursaria Dr,4,h,629000.0,S,Sweeney,1/04/2017,3023,Western Metropolitan,7719,14.8,Melton City Council,157250.0,House
Caroline Springs,17 The Entrance,2,t,406000.0,S,Barry,1/04/2017,3023,Western Metropolitan,7719,14.8,Melton City Council,203000.0,Townhouse
Carrum,13 Wright St,3,h,825000.0,S,Ray,1/04/2017,3197,South-Eastern Metropolitan,1989,31.2,Kingston City Council,275000.0,House
Carrum Downs,67 Gamble Rd,4,h,581500.0,S,Donovan,1/04/2017,3201,South-Eastern Metropolitan,8060,34.9,Frankston City Council,145375.0,House
Caulfield East,15 Grange Rd,3,h,1400000.0,S,Gary,1/04/2017,3145,Southern Metropolitan,608,8.4,Glen Eira City Council,466666.6666666667,House
Caulfield South,498 Kooyong Rd,3,h,1538000.0,S,Biggin,1/04/2017,3162,Southern Metropolitan,5051,8.7,Glen Eira City Council,512666.6666666667,House
Chadstone,10 Myora Ct,3,h,1354000.0,S,Ray,1/04/2017,3148,Southern Metropolitan,3582,11.7,Monash City Council,451333.3333333333,House
Chelsea,29c Ella Gr,3,u,886000.0,S,O'Brien,1/04/2017,3196,South-Eastern Metropolitan,3906,27.0,Kingston City Council,295333.3333333333,Unit
Clayton,33 Dunstan St,7,h,4000000.0,S,Darras,1/04/2017,3168,South-Eastern Metropolitan,5837,16.7,Monash City Council,571428.5714285715,House
Clayton,9B Hourigan Av,4,t,1010000.0,S,C21,1/04/2017,3168,South-Eastern Metropolitan,5837,16.7,Monash City Council,252500.0,Townhouse
Clayton,3/32 Madeleine Rd,2,t,697500.0,S,C21,1/04/2017,3168,South-Eastern Metropolitan,5837,16.7,Monash City Council,348750.0,Townhouse
Clayton South,24 Kitson Rd,3,h,800000.0,S,C21,1/04/2017,3169,South-Eastern Metropolitan,4734,17.5,Kingston City Council,266666.6666666667,House
Clifton Hill,6/37 Groom St,3,h,1805000.0,S,Nelson,1/04/2017,3068,Northern Metropolitan,2954,3.6,Yarra City Council,601666.6666666666,House
Clifton Hill,208 Noone St,3,h,1400000.0,S,Nelson,1/04/2017,3068,Northern Metropolitan,2954,3.6,Yarra City Council,466666.6666666667,House
Coburg,253 Bell St,3,h,1032500.0,S,Nelson,1/04/2017,3058,Northern Metropolitan,11204,6.7,Darebin City Council,344166.6666666667,House
Coburg,100 Clarendon St,3,h,1070000.0,SP,Peter,1/04/2017,3058,Northern Metropolitan,11204,6.7,Darebin City Council,356666.6666666667,House
Coburg,116 Gordon St,3,h,1005000.0,S,Barry,1/04/2017,3058,Northern Metropolitan,11204,6.7,Darebin City Council,335000.0,House
Coburg,43 Linda St,2,h,905000.0,SP,Peter,1/04/2017,3058,Northern Metropolitan,11204,6.7,Darebin City Council,452500.0,House
Coburg,8/2 McKay St,2,u,412000.0,S,Del,1/04/2017,3058,Northern Metropolitan,11204,6.7,Darebin City Council,206000.0,Unit
Coburg,30 Quarry Cct,1,u,333000.0,SP,Woodards,1/04/2017,3058,Northern Metropolitan,11204,6.7,Darebin City Council,333000.0,Unit
Coburg,7 Railway Pl,2,h,797500.0,S,Ray,1/04/2017,3058,Northern Metropolitan,11204,6.7,Darebin City Council,398750.0,House
Coburg,3/3 Wardens Wk,2,u,430000.0,SP,Woodards,1/04/2017,3058,Northern Metropolitan,11204,6.7,Darebin City Council,215000.0,Unit
Coburg North,23 Ida St,2,t,490000.0,S,Ray,1/04/2017,3058,Northern Metropolitan,3445,6.7,Darebin City Council,245000.0,Townhouse
Coburg North,64 Ronald St,4,h,960000.0,SP,Nelson,1/04/2017,3058,Northern Metropolitan,3445,6.7,Darebin City Council,240000.0,House
Collingwood,2/136 Oxford St,2,u,960000.0,S,Nelson,1/04/2017,3066,Northern Metropolitan,4553,2.0,Yarra City Council,480000.0,Unit
Craigieburn,7A Amstel St,3,h,356500.0,S,Jason,1/04/2017,3064,Northern Metropolitan,15510,20.6,Hume City Council,118833.33333333333,House
Craigieburn,4 Meadowbank Ct,4,h,580500.0,S,YPA,1/04/2017,3064,Northern Metropolitan,15510,20.6,Hume City Council,145125.0,House
Craigieburn,163 Newbury Bvd,3,h,573000.0,S,Bombay,1/04/2017,3064,Northern Metropolitan,15510,20.6,Hume City Council,191000.0,House
Craigieburn,16 Serenity Wy,4,h,475000.0,SP,Biggin,1/04/2017,3064,Northern Metropolitan,15510,20.6,Hume City Council,118750.0,House
Craigieburn,226 Windrock Av,3,t,385000.0,S,Ray,1/04/2017,3064,Northern Metropolitan,15510,20.6,Hume City Council,128333.33333333333,Townhouse
Cranbourne North,22 Horsfield St,3,h,475000.0,S,LJ,1/04/2017,3977,South-Eastern Metropolitan,6464,34.7,Casey City Council,158333.33333333334,House
Croydon,174A Lincoln Rd,3,t,744000.0,SP,Fletchers,1/04/2017,3136,Eastern Metropolitan,11925,23.0,Maroondah City Council,248000.0,Townhouse
Croydon,1 Robinson St,3,h,746000.0,S,Philip,1/04/2017,3136,Eastern Metropolitan,11925,23.0,Maroondah City Council,248666.66666666666,House
Croydon,59 Wicklow Av,3,h,965000.0,S,Carter,1/04/2017,3136,Eastern Metropolitan,11925,23.0,Maroondah City Council,321666.6666666667,House
Dallas,31 Phillip St,3,h,455500.0,S,Barry,1/04/2017,3047,Northern Metropolitan,2246,14.0,Hume City Council,151833.33333333334,House
Dandenong,10 Aratula St,3,h,800000.0,SP,O'Brien,1/04/2017,3175,South-Eastern Metropolitan,10894,24.7,Greater Dandenong City Council,266666.6666666667,House
Dandenong,24 Grandview Av,3,h,610000.0,S,McLennan,1/04/2017,3175,South-Eastern Metropolitan,10894,24.7,Greater Dandenong City Council,203333.33333333334,House
Dandenong North,4/3 Rhoden Ct,2,u,307000.0,S,buyMyplace,1/04/2017,3175,South-Eastern Metropolitan,8322,24.7,Greater Dandenong City Council,153500.0,Unit
Deepdene,19 Terry St,2,h,1610000.0,S,Noel,1/04/2017,3103,Southern Metropolitan,892,7.9,Boroondara City Council,805000.0,House
Deer Park,20 Davitt Dr,5,h,589000.0,S,YPA,1/04/2017,3023,Western Metropolitan,6388,14.8,Brimbank City Council,117800.0,House
Deer Park,20 Doherty St,4,h,603000.0,S,Bells,1/04/2017,3023,Western Metropolitan,6388,14.8,Brimbank City Council,150750.0,House
Delahey,1/25 Yeats Dr,3,h,335000.0,S,Ray,1/04/2017,3037,Western Metropolitan,2898,18.0,Brimbank City Council,111666.66666666667,House
Diamond Creek,27 Fairview Cr,4,h,730000.0,SP,Mason,1/04/2017,3089,Northern Victoria,4258,21.8,Nillumbik Shire Council,182500.0,House
Dingley Village,6 Balcombe Pl,4,h,920000.0,S,Buxton,1/04/2017,3172,South-Eastern Metropolitan,3940,22.2,Kingston City Council,230000.0,House
Dingley Village,4 Bayville Dr,3,h,770000.0,S,Buxton,1/04/2017,3172,South-Eastern Metropolitan,3940,22.2,Kingston City Council,256666.66666666666,House
Dingley Village,17 Emery Dr,4,h,1140000.0,S,Buxton,1/04/2017,3172,South-Eastern Metropolitan,3940,22.2,Kingston City Council,285000.0,House
Dingley Village,34 Marcus Rd,4,h,910000.0,S,Ray,1/04/2017,3172,South-Eastern Metropolitan,3940,22.2,Kingston City Council,227500.0,House
Dingley Village,16 Toorak Dr,4,h,883850.0,S,Buxton,1/04/2017,3172,South-Eastern Metropolitan,3940,22.2,Kingston City Council,220962.5,House
Doncaster,73 Ayr St,4,h,1556000.0,S,Barry,1/04/2017,3108,Eastern Metropolitan,9028,12.4,Manningham City Council,389000.0,House
Doncaster East,48 Blackburn Rd,4,h,1249000.0,S,Lindellas,1/04/2017,3109,Eastern Metropolitan,10999,14.3,Manningham City Council,312250.0,House
Doncaster East,2/3 Elizabeth St,3,t,950000.0,S,Parkes,1/04/2017,3109,Eastern Metropolitan,10999,14.3,Manningham City Council,316666.6666666667,Townhouse
Doncaster East,1/60 Franklin Rd,3,t,820000.0,S,Noel,1/04/2017,3109,Eastern Metropolitan,10999,14.3,Manningham City Council,273333.3333333333,Townhouse
Doncaster East,58 Huntingfield Dr,4,h,1730000.0,S,Jellis,1/04/2017,3109,Eastern Metropolitan,10999,14.3,Manningham City Council,432500.0,House
Donvale,11 Chaim Ct,3,h,1260000.0,S,Jellis,1/04/2017,3111,Eastern Metropolitan,4790,16.1,Manningham City Council,420000.0,House
Donvale,13 Hillcrest Ct,4,h,1300000.0,SP,Fletchers,1/04/2017,3111,Eastern Metropolitan,4790,16.1,Manningham City Council,325000.0,House
Eaglemont,22 Ormond Rd,3,h,1820000.0,S,Nelson,1/04/2017,3084,Eastern Metropolitan,1651,8.9,Banyule City Council,606666.6666666666,House
East Melbourne,16/246 Albert St,1,u,675000.0,SP,Caine,1/04/2017,3002,Northern Metropolitan,3040,1.3,Melbourne City Council,675000.0,Unit
East Melbourne,138 Powlett St,4,h,4150000.0,S,Caine,1/04/2017,3002,Northern Metropolitan,3040,1.3,Melbourne City Council,1037500.0,House
Edithvale,17 Joffre Av,3,h,1130000.0,S,hockingstuart/hockingstuart,1/04/2017,3196,South-Eastern Metropolitan,2546,27.0,Kingston City Council,376666.6666666667,House
Elsternwick,29 Downshire Rd,3,t,1683000.0,S,Biggin,1/04/2017,3185,Southern Metropolitan,4898,7.2,Glen Eira City Council,561000.0,Townhouse
Elsternwick,2 Park St,3,h,2250000.0,VB,Biggin,1/04/2017,3185,Southern Metropolitan,4898,7.2,Glen Eira City Council,750000.0,House
Eltham,14 Floriston Gr,3,h,840500.0,SP,Morrison,1/04/2017,3095,Eastern Metropolitan,6990,18.0,Banyule City Council,280166.6666666667,House
Eltham,14 Lamorna Ct,3,h,900000.0,S,Barry,1/04/2017,3095,Eastern Metropolitan,6990,18.0,Banyule City Council,300000.0,House
Eltham,89 Napoleon St,3,h,837000.0,S,Morrison,1/04/2017,3095,Eastern Metropolitan,6990,18.0,Banyule City Council,279000.0,House
Eltham North,34 Weidlich Rd,4,h,1000000.0,S,Barry,1/04/2017,3095,Eastern Metropolitan,2346,18.0,Banyule City Council,250000.0,House
Elwood,15/125 Ormond Rd,2,u,800000.0,S,Chisholm,1/04/2017,3184,Southern Metropolitan,8989,7.2,Port Phillip City Council,400000.0,Unit
Elwood,3/22 Shelley St,2,u,805000.0,S,Chisholm,1/04/2017,3184,Southern Metropolitan,8989,7.2,Port Phillip City Council,402500.0,Unit
Elwood,68 Tennyson St,4,h,2985000.0,S,Kay,1/04/2017,3184,Southern Metropolitan,8989,7.2,Port Phillip City Council,746250.0,House
